Bio,labels
"""All things Cannabis!"" Website: https://Cannafo.com",-1
"""Cool.""alt: @BbySadBoi shared w/ @Dasein4LifE",-1
"""Currently Under Construction"" 🖖",0
"""Ever since I was a lowercase g, but now I'm a big G""",-1
"""I'm not popular enough to be different"" - Homer Simpson",-1
"""If you risk nothing, you risk everything""",-1
"""Making fully devoted followers of Jesus Christ""",7
"""May the bridges I burn light the way.""~ I like to tweet lyrics + a bunch of random thoughts that go through my head -",-1
"""Risk is the tariff paid to leave the shores of predictable misery"" –  A. Lalvani",-1
"""They call me The Seeker. I've been searching low and high...""",-1
"""We live the given life, and not the planned."" Wendell Berry",-1
"""When small men begin to cast big shadows, it means the sun is about to set""                ~ Lin Yutang (1895 – 1976)",-1
"""you my dear, are something else entirely. Such beauty I both hope and fear only comes once in a lifetime""",-1
(◕‿◕✿),0
(O|||||||O) // livin' like larry,-1
{Life & Empowerment Coach} I help passionate women tired of playing small find clarity and courage to unleash their full potential and create a life they love.,-1
{she/her} Just trying to survive in this new world we find ourselves in. Thankfully Misha is helping to make that world a better place 💙,-1
@10barrelbrewing #Oregon #Bend My Tweets are my opinion ¯\_(ツ)_/¯,-1
@541Threads's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,9
"@BendFilm's Art House Cinema, located in Bend, Oregon’s historic downtown. Advance tickets now available online!",-1
"@bethannon @ mindly. social | CEO at @AccessiCart. Web accessibility & eCommerce. She/her. Wife, mom, grandma. Aspiring antiracist.",8
"@BlackButteRanch, PGA Head Golf Professional, sports fan, Go OSU Beavers and LA Rams, @taylormadegolf @nikegolf",-1
"@BossBaseball2 19U Head Coach | Boss Baseball President | Formerly: @YD_RedSox, @baseball_RCC, @BeaconsBaseball, @REV_Baseball",-1
@burtonsnowboards @anonoptics @dvssnowboarding @redbull @JBLaudio,-1
@ChicoState journalism grad | not punny in the slightest. she/her,-1
@chrisrbailey@mastodon.worldNo longer active on Twitter. Maybe I'll be back when Elon learns the difference between hate speech and free speech.,9
"@cityofbend comms, all things land use. Former Reporter at the @thebulletin. @WWU grad. Retweets not endorsements. She/her",-1
@CODaily News Lady on TV #inBend ABC+CBS • Born & Raised Oregonian • Outdoors Lover • She/Her • 🍕☮️🌞🌲💖🏔🍻🦮 ♻️🔮🌅 • Opinions are mine,-1
@creatureworld @wanderers_nft @Frogland_io I've walked across the US twice @PCTAssociation @CDNST1,-1
@crossfit541's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,9
"@DeschutesBeer Brewmaster, Tech Geek, and inspiring Student of BBQ, Cheese Making and Circuit Building.",-1
@DukeSmi49610884's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,9
@DutchBrosCoffee of Central Oregon,11
@evilhag,-1
"@fastly #perl, #android, #security, #privacy, #mountain_biking",-1
"@frontdeskhq, co-founder / developer",-1
@HotPussyOnly's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,9
"@jesselaird@mastodon.sdf.org Mountains, public land, family, & space between an oscilloscope and an ethernet cable, Pronouns: he/him",-1
"@juliejulie, Retweeting the best recipes for Success, Failure, or Dinner",-1
@kjsays@mastodon.world | Marketing Operations & Technology | Adventurer | Television Academy Member | AFTRA/SAG | ☕️ Power User,-1
@KSEE24/@CBS47 reporter. Political junky. The outdoors is my playground. @ChicoState grad. Go Wildcats. #ChicoCA▶️#inBend OR▶️ #FresnoCA,-1
@KTVZ News Producer #inBend - Former @NBCSports & @cubuffs Digital Media Team. Buffs fan in Duck country.,-1
@LifeAtPurdue @MSStateGrads,-1
"@mileswilhelm & hop farmer @smithrockhops. Craft Beer tastings, promotion, and education in Central Oregon .",-1
@NewMediaPR #Journalist 🎤 #Entrepreneur #Speaker #Inspiration #Travel ✈️ #Faith and #Mama  1 Cor. 13:13 🥰,-1
@NotreDame class of 2015. Former Managing Editor for @NDSMCObserver. Stops @Sportson1 and @MyCJ_Sports. Send all questions to brianghartnett@gmail.com,-1
@oiselle @SalomonSports Athlete | LITTLEWING ATHLETICS @runlittlewing | Cloud Collector | Suicide Prevention Avocate | she/her,-1
@oiselle and @runlittlewing Professional Runner | Stanford Alum | Public Policy Nerd | Breakfast Burrito Enthusiast | she/her,-1
@tallseth@hachyderm.ioPrincipal Engineer,8
@tdmfilms_,-1
"@THEDIVISION,@DESTINY,",-1
@turboandace's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,9
@wswank33 &#x1f5a4;,-1
* Social Media Consultant * Engagement Strategist * Vegan * Runner *,-1
*me llamo Sara,-1
*Portland State Football* #barnyball,-1
"// Sc- mileswgraham // Ig- mileswgraham Logic enthusiast/mega fan. Peace, Love and Positivity.",-1
& that’s showbiz babyyyy,-1
"&#x1f1fa;&#x1f1f8;Loves TRUTH&#x1f1fa;&#x1f1f8;. Rx4America 7AM PST, M-F&#x1f64f;Prayer&#x1f64f;#POTUS&#x1f1fa;&#x1f1f8;#TRUMP2020&#x1f1fa;&#x1f1f8;#MAGA&#x1f1fa;&#x1f1f8;#KAG, #QAnons&#x1f1fa",-1
&#x1f31e;,-1
&#x1f339;&#x1f339;&#x1f339;,-1
&#x1f380;Quinn Karina Pollard 10-28-18&#x1f380;&#x1f48d;BJP 4-28-18&#x1f48d; $AngelenePollard,-1
&#x1f41e; she/her ♈︎ ☉ | ♎︎ ☾ | ♓︎ ↑ #BLM,-1
&#x1f493;,-1
&#x1f4ab;Heliopause Productions (@HeliopausePro). &#x1f4bb;Writer &#x1f58c;️Artist &#x1f431;Furry &#x1f984;Queer ⛑️First Responder &#x1f409;Friend of Dragons &#x1f30b;Volcano Chimera &#x,-1
&#x1f4af;,-1
&#x1f595;&#x1f3fc;&#x1f441;&#x1f445;&#x1f441;&#x1f595;&#x1f3fc;,-1
&#x1f5a4;RememberHodge&#x1f5a4;,-1
&#x1f5ff;☔️&#x1f332;,-1
&#x1f9da;‍♀️✨&#x1f9da;&#x1f98b;&#x1f343;&#x1f495;&#x1f994;&#x1f344;&#x1f986;,-1
#1 Best Seller in France Travel 🇫🇷 | Writer  | Blogger | Podcaster | Author of simply luxurious living ➡️ Cultivating True Contentment Visit http://TSLL.co,-1
"#1 Frenchy fan, Nurse, Athlete @Patagonia @Julbo_usa @Injinji @Spring_energy @squirrels_nut_butter @Ultraspire @Pickybar",-1
"#1 Frenchy fan, Nurse, Athlete @Patagonia @Julbo_usa @Injinji @Spring_energy @squirrels_nut_butter @Ultraspire @Pickybar",-1
#1 NYT bestselling author. ☕️ A WILDERNESS OF STARS (11/29/22) • LONG LIVE THE PUMPKIN QUEEN • A HISTORY OF WILD PLACES • THE WICKED DEEP • WINTERWOOD,2
#4ouSeattle 7/17 = Best Night ever!!,4
#AWESOME,-1
#BBBH #PnP #Bareback #Fisting #powerbottom #teambareback #cumslut #cumdump #NoLoadRefused #fist #fistfucking #gayfisting #partybtm #barebackonly #bbrt #anon,-1
"#Biden2020 | City Dogs, City Dogs Rescue | #TheResistence Will follow/follow back other resisters... power in numbers! #AbolishNRA #FBR 🌈 #Persist #BLM",-1
#bitcoin https://dulynoded.io,-1
#blacklivesmatter she/her,-1
#blm,-1
"#BLM Organic CBG Hemp, Lavender, Bamboo, Yaks and produce",-1
#BLM | 🏳️‍🌈 |@jilavisuals,-1
#BLM Indigenous,-1
"#Boise boomerang (x2). @Penn_State & @BoiseState alum. Fan of food, penguins, hockey, & travel.",-1
"#Boreal Prog Mngr 4 @natureunited_ca, Canadian affiliate of @nature_org. Working from NW @nature_ID office. Formerly #GreatLakes Aquatic #InvasiveSpecies Coord.",-1
#CEO | #LifeMentor | #Coach | #Speaker #Helping | #Fitness | #Health | #LVlife | #Fun | #Gym Read My Story - http://facebook.com/LevelBrands/po…,-1
#Constitutional Conservative- #mom-#free market-#American Veteran-#Oregonian#grandmother-,-1
#DaRaiders #raiders #lvraiders  #publicland #backpacking #fishing #books,-1
#DaysGone #BendStudio Full Time DaysGone Speedrunning Streamer PSN:NotSamWitwer BusinessEmail:DaysGoneDaily@Gmail.com http://Twitch.Tv/EllieMayCry,-1
#Entrepreneur. #Engineer. #Designer. #Geek.  I live #inbend but the internet's my home.  *^_^*,-1
#Entrepreneurial #SaaS #Sales leader. Specialize in differentiated vertical go-to-market models & building great teams who crush it. Also #Real Estate junkie,-1
#exhausted #Mom #Blogger #amwriting #creative #amreading #book #product #review #crafts #selfcare,-1
#father #powderhound #mountainbiker #homebrewer & #SEO living the dream #inBend,-1
#flyhigh59,-1
#followback #rufollowback #InstantFollowBack #Follow2Gain #AutoFollowBack #Shoutout #Follow4Follow #TeamToFollow,9
#geauxLSU #geauxtigers #geauxlakers #geauxSaints ~~~@KingJames is my GOAT~~~,-1
#goducks #kiwi,-1
#GoDucks Quack Quack,-1
#GoDucks/@PetSmart,-1
#GoHawks #GoDucks,-1
#health and #wellness #podcast. two friends wanting to help #changetheworld #fitness #wellness,1
#Hemp #CBD farming in #Oregon#Hooray4Hemp#supportyourlocalhempfarm,-1
#HomeDecor & #DIY #Blogger - My passion is to help you make your house a home you love!  #HomeRenovation #Crafts #PRFriendly #inBend,-1
"#Husband #father #Veteran, #Contractor #Remodels #Superintendent #MAGA          I believe less government is a better life. please no DM",-1
#iamalaska,-1
#IAMKRATOM #KRATOMSAVESLIVES #KEEPKRATOMLEGAL,-1
#IFB #F4F I follow back. Follow for follow. I retweet your stuff you retweet mine!,9
#IStandWithUkraine 💛💙 #PCT #TRAILANGEL 💚#BlackLivesMatter💙✊🏽💙#12Seahawks💙 #CleanAndSober 04/12/04💙,-1
#justiceforvanessaguillen,-1
#keepingmyhoesincheck.,-1
#killinit,-1
#LegacyInvestmentsBend  #BendExposed #PinkTacoMedia  #BornWorthy #ChelleysWorld #BendBuiltGirI It is time. We can wait no longer. #UNITEDWEWIN #bossbitchesunite,-1
#LongLiveCoop,-1
"#Love #WorldPeace 🌎 #Equitability #KindnessBicycling, enviro, veg/health, art, & rescue animals. (She/her)",-1
#lovebased 🫧🌈ig: @wolfeloganj,-1
"#MeToo, #SetTheExpectation, #Resistance, Survivor, lover of all animals. Mother, Nana, former clinical therapist. Avid Political Science and History reader.",-1
#MNUFC #BAONPDX #SJSharks #Everton#PDXFC Part Owner🐤 BHU Awaydays🖤 W7SML Twitch Mod for @awildgingersnap🗡 Geoguessr🌎MarxistLeninist☭ Steph she/they,-1
#Mom #BeautyBlogger #bblogger Glam y Belleza,-1
#mom #writer #editor #proofreader #blackbelt in Taekwondo #crafter #amwriting the sequel to #TheGardeniaCurse published by @SaguaroBooks #amreading #mg #ya,-1
"#mompreneur,#radiantheroes Helping over 40 women find your radiant path, and living the life you love.  Check out my website http://brookvisser.nl",-1
#MuniKidsEverywhere,-1
#Musician and Owner of RobDawg Studios. #Music is life.  That’s why our hearts have beats.,3
#Neuromuscular #Dentist helping people of all ages to find harmony and balance.,1
#Neuromuscular #Dentist helping people of all ages to find harmony and balance.,1
#Neuromuscular #Dentist helping people of all ages to find harmony and balance.,1
#onelove snapchat: dizzle_jay8,-1
"#Pediatrician #amwriting #childrensbooks #picturebooks. Also, #Coptic #Egyptian woman. Rep'd by @marisacleveland @seymouragency",-1
#realtor #realestate #inBend,10
"#Realtor with @StellarNW Client-focused, helping buyers and sellers achieve their real estate goals with grace, patience and perseverance.",10
#RipCity,-1
#RIPCUZ #RIPDEVON #RIPLEVON #RIPJAYDEN #RIPSOLO #RIPLILY #RIPSHAE #RIPCAMERON #RIPADAM,-1
#SEO @peacockTV,-1
#SEO consultant / founder Conifr Media / former Zillow & AWS SEO. I like skiing & my funny French bulldogs.,-1
"#sexcoach and #sexeducator in Bend, Oregon. #empoweredsexuality #noshame #real",11
#ShopLocal #Microbrews #CivilLiberties,-1
#Skol #mnwild,-1
#Smooth || G3 || High Aspirations || Paris X || ND - UNT,-1
